file_name,detected,processing_time,sensitivity,p_map,spectrum,prediction_error,lambda_param,tau,sigma,gradient_threshold
image_1.png,False,0.1896514892578125,medium,"[[5.1957474e-04 5.1957474e-04 9.3941307e-01 ... 5.1957474e-04
  1.0709232e-12 1.9304542e-03]
 [2.5868101e-05 5.1957474e-04 7.7880073e-01 ... 1.9304542e-03
  1.3887944e-11 6.3297153e-03]
 [2.0961139e-01 9.3941307e-01 7.7880073e-01 ... 9.3941307e-01
  9.3941307e-01 1.0000000e+00]
 ...
 [1.0000000e+00 9.3941307e-01 5.6978285e-01 ... 7.7880073e-01
  3.6787942e-01 1.0000000e+00]
 [7.7880073e-01 1.0000000e+00 1.9304542e-03 ... 7.7880073e-01
  1.2340980e-04 5.1957474e-04]
 [7.7880073e-01 1.0539922e-01 9.3941307e-01 ... 7.7880073e-01
  2.5868101e-05 5.1957474e-04]]","[[0.15867959 0.06249813 0.2846802  ... 0.11669843 0.2846802  0.06249813]
 [0.07819584 0.22481817 0.11194515 ... 0.19415322 0.23847365 0.15122809]
 [0.19886166 0.10337012 0.06844635 ... 0.12765515 0.20237328 0.02189851]
 ...
 [0.04644307 0.10504384 0.15670884 ... 0.22040838 0.12597553 0.03004294]
 [0.19886166 0.02189851 0.20237328 ... 0.11862142 0.06844635 0.10337012]
 [0.07819584 0.15122809 0.23847365 ... 0.20005508 0.11194515 0.22481817]]","[[-2.75  2.75  0.25 ...  2.75 -5.25  2.5 ]
 [ 3.25 -2.75 -0.5  ... -2.5   5.   -2.25]
 [-1.25  0.25  0.5  ...  0.25 -0.25  0.  ]
 ...
 [ 0.    0.25 -0.75 ...  0.5   1.    0.  ]
 [-0.5   0.    2.5  ...  0.5   3.   -2.75]
 [ 0.5  -1.5   0.25 ... -0.5  -3.25  2.75]]",1.0,2.0,1.0,0.008
image_10.png,False,0.2378861904144287,medium,"[[1.05399221e-01 1.07092319e-12 1.08485515e-17 ... 9.39413071e-01
  1.60522817e-09 1.23409802e-04]
 [5.24288570e-22 3.78350585e-44 3.78350585e-44 ... 9.39413071e-01
  1.07092319e-12 5.19574736e-04]
 [4.47773235e-19 3.78350585e-44 1.08485515e-17 ... 5.69782853e-01
  9.39413071e-01 2.09611386e-01]
 ...
 [9.39413071e-01 2.58681011e-05 2.09611386e-01 ... 1.07092319e-12
  2.09611386e-01 2.09611386e-01]
 [1.07092319e-12 4.37661839e-15 4.78511720e-06 ... 1.00000000e+00
  3.72336308e-25 1.63101389e-20]
 [2.58681011e-05 1.83156393e-02 5.69782853e-01 ... 3.67879421e-01
  5.24288570e-22 7.28772376e-14]]","[[0.20458454 0.09580079 0.20875032 ... 0.23434792 0.20875032 0.09580079]
 [0.1495144  0.1352666  0.40994644 ... 0.23954716 0.12002431 0.17794503]
 [0.24778423 0.3262478  0.07473824 ... 0.19534244 0.31682676 0.32189313]
 ...
 [0.03648217 0.15335622 0.20148472 ... 0.22962591 0.18519892 0.21478817]
 [0.24778423 0.32189313 0.31682676 ... 0.11316872 0.07473824 0.3262478 ]
 [0.1495144  0.17794503 0.12002431 ... 0.16166934 0.40994644 0.1352666 ]]","[[ -1.5    5.25  -6.25 ...   0.25  -4.5    3.  ]
 [  7.   -15.5   11.5  ...   0.25   5.25  -2.75]
 [ -6.5   12.    -6.25 ...  -0.75   0.25  -1.25]
 ...
 [  0.25  -3.25   1.25 ...   5.25   1.25  -1.25]
 [  5.25  -5.75   3.5  ...   0.     7.5   -6.75]
 [ -3.25   2.     0.75 ...  -1.    -7.     5.5 ]]",1.0,2.0,1.0,0.008
image_11.png,False,0.054921865463256836,medium,"[[7.7880073e-01 4.7851172e-06 4.4777323e-19 ... 1.0539922e-01
  9.3941307e-01 3.6787942e-01]
 [7.7880073e-01 1.0709232e-12 8.2259804e-27 ... 1.1253517e-07
  4.6770621e-02 5.1957474e-04]
 [6.3297153e-03 1.5893910e-10 3.6787942e-01 ... 1.6052282e-09
  2.0961139e-01 1.0000000e+00]
 ...
 [1.0000000e+00 1.0000000e+00 2.0961139e-01 ... 1.6310139e-20
  3.7835059e-44 1.6038108e-28]
 [4.7851172e-06 3.7233631e-25 1.4872922e-23 ... 6.6396770e-36
  1.4872922e-23 2.3195227e-16]
 [5.1957474e-04 4.4777323e-19 4.3766184e-15 ... 7.2877238e-14
  1.1253517e-07 1.9304542e-03]]","[[0.18850882 0.20652415 0.17981811 ... 0.3332239  0.17981811 0.20652415]
 [0.22343214 0.0519382  0.25937107 ... 0.20427005 0.25856486 0.24848053]
 [0.12770012 0.05298018 0.15379943 ... 0.12911424 0.19263141 0.17808829]
 ...
 [0.28323075 0.32065293 0.03921017 ... 0.36211503 0.06765687 0.1233014 ]
 [0.12770012 0.17808829 0.19263141 ... 0.07636822 0.15379943 0.05298018]
 [0.22343214 0.24848053 0.25856486 ... 0.0401592  0.25937107 0.0519382 ]]","[[ -0.5   -3.5    6.5  ...  -1.5   -0.25   1.  ]
 [  0.5    5.25  -7.75 ...   4.     1.75  -2.75]
 [  2.25  -4.75   1.   ...  -4.5    1.25   0.  ]
 ...
 [  0.     0.    -1.25 ...   6.75 -10.5    8.  ]
 [ -3.5    7.5   -7.25 ...  -9.     7.25  -6.  ]
 [  2.75  -6.5    5.75 ...   5.5   -4.     2.5 ]]",1.0,2.0,1.0,0.008
image_11_sl.jpg,False,0.12262344360351562,medium,"[[9.39413071e-01 1.12535169e-07 1.63101389e-20 ... 1.05399221e-01
  3.67879421e-01 1.05399221e-01]
 [1.00000000e+00 4.47773235e-19 5.61472764e-34 ... 1.12535169e-07
  5.19574736e-04 2.58681011e-05]
 [6.32971525e-03 7.28772376e-14 6.32971525e-03 ... 1.60522817e-09
  5.69782853e-01 1.00000000e+00]
 ...
 [5.69782853e-01 3.67879421e-01 2.09611386e-01 ... 5.24288570e-22
  3.78350585e-44 4.19009311e-32]
 [5.19574736e-04 1.08485515e-17 4.47773235e-19 ... 6.63967696e-36
  3.72336308e-25 4.47773235e-19]
 [1.93045416e-03 2.31952270e-16 1.07092319e-12 ... 7.28772376e-14
  1.12535169e-07 5.19574736e-04]]","[[0.19203454 0.14826772 0.12655763 ... 0.17783394 0.12655763 0.14826772]
 [0.08160482 0.06660739 0.17873864 ... 0.23778978 0.22123075 0.17934972]
 [0.37556902 0.12464958 0.07257286 ... 0.20359614 0.29769817 0.24726683]
 ...
 [0.06961009 0.10134052 0.10969789 ... 0.1726477  0.13122031 0.03027394]
 [0.37556902 0.24726683 0.29769817 ... 0.21718012 0.07257286 0.12464958]
 [0.08160482 0.17934972 0.22123075 ... 0.10846086 0.17873864 0.06660739]]","[[ -0.25  -4.     6.75 ...  -1.5   -1.     1.5 ]
 [  0.     6.5   -8.75 ...   4.     2.75  -3.25]
 [  2.25  -5.5    2.25 ...  -4.5    0.75   0.  ]
 ...
 [ -0.75   1.    -1.25 ...   7.   -11.25   8.5 ]
 [ -2.75   6.25  -6.5  ...  -9.     7.5   -6.5 ]
 [  2.5   -6.     5.25 ...   5.5   -4.     2.75]]",1.0,2.0,1.0,0.008
image_11_ss.jpg,False,0.12517023086547852,medium,"[[9.39413071e-01 1.12535169e-07 1.63101389e-20 ... 1.05399221e-01
  3.67879421e-01 1.05399221e-01]
 [1.00000000e+00 4.47773235e-19 5.61472764e-34 ... 1.12535169e-07
  5.19574736e-04 2.58681011e-05]
 [6.32971525e-03 7.28772376e-14 6.32971525e-03 ... 1.60522817e-09
  5.69782853e-01 1.00000000e+00]
 ...
 [5.69782853e-01 3.67879421e-01 2.09611386e-01 ... 5.24288570e-22
  3.78350585e-44 4.19009311e-32]
 [5.19574736e-04 1.08485515e-17 4.47773235e-19 ... 6.63967696e-36
  3.72336308e-25 4.47773235e-19]
 [1.93045416e-03 2.31952270e-16 1.07092319e-12 ... 7.28772376e-14
  1.12535169e-07 5.19574736e-04]]","[[0.10036163 0.08062907 0.17357717 ... 0.19296312 0.17357717 0.08062907]
 [0.36866647 0.00666468 0.21641356 ... 0.28705692 0.34811068 0.11233903]
 [0.21916324 0.20331104 0.12358218 ... 0.05563674 0.10353786 0.11336079]
 ...
 [0.1471374  0.19627652 0.10955276 ... 0.42603013 0.21462183 0.15838502]
 [0.21916324 0.11336079 0.10353786 ... 0.10217527 0.12358218 0.20331104]
 [0.36866647 0.11233903 0.34811068 ... 0.0067981  0.21641356 0.00666468]]","[[ -0.25  -4.     6.75 ...  -1.5   -1.     1.5 ]
 [  0.     6.5   -8.75 ...   4.     2.75  -3.25]
 [  2.25  -5.5    2.25 ...  -4.5    0.75   0.  ]
 ...
 [ -0.75   1.    -1.25 ...   7.   -11.25   8.5 ]
 [ -2.75   6.25  -6.5  ...  -9.     7.5   -6.5 ]
 [  2.5   -6.     5.25 ...   5.5   -4.     2.75]]",1.0,2.0,1.0,0.008
image_2.png,False,0.22524261474609375,medium,"[[1.60522817e-09 1.08485515e-17 1.43072416e-08 ... 1.83156393e-02
  3.67879421e-01 1.00000000e+00]
 [5.61472764e-34 3.78350585e-44 5.24288570e-22 ... 3.67879421e-01
  5.69782853e-01 9.39413071e-01]
 [4.78511720e-06 2.31952270e-16 7.81148913e-07 ... 1.00000000e+00
  7.78800726e-01 5.69782853e-01]
 ...
 [2.58681011e-05 4.19009311e-32 2.75950891e-30 ... 2.58681011e-05
  1.12535169e-07 3.67879421e-01]
 [9.39413071e-01 1.05399221e-01 4.67706211e-02 ... 4.78511720e-06
  1.83156393e-02 7.78800726e-01]
 [9.39413071e-01 4.67706211e-02 1.23409802e-04 ... 5.69782853e-01
  9.39413071e-01 9.39413071e-01]]","[[0.07025647 0.07214699 0.17371981 ... 0.1743629  0.17371981 0.07214699]
 [0.1200331  0.20903015 0.22814246 ... 0.09110963 0.15169744 0.05756453]
 [0.16877355 0.29567966 0.17581624 ... 0.04024612 0.13323234 0.08959163]
 ...
 [0.09231453 0.20353271 0.25558633 ... 0.20445888 0.10753883 0.25315762]
 [0.16877355 0.08959163 0.13323234 ... 0.10361206 0.17581624 0.29567966]
 [0.1200331  0.05756453 0.15169744 ... 0.30593345 0.22814246 0.20903015]]","[[ -4.5    6.25  -4.25 ...   2.    -1.     0.  ]
 [  8.75 -12.5    7.   ...  -1.     0.75   0.25]
 [ -3.5    6.    -3.75 ...   0.     0.5   -0.75]
 ...
 [  3.25  -8.5    8.25 ...   3.25  -4.     1.  ]
 [  0.25  -1.5    1.75 ...  -3.5    2.    -0.5 ]
 [ -0.25   1.75  -3.   ...   0.75   0.25  -0.25]]",1.0,2.0,1.0,0.008
image_3.png,False,0.18277406692504883,medium,"[[9.39413071e-01 3.67879421e-01 2.09611386e-01 ... 1.48729216e-23
  1.12535169e-07 1.00000000e+00]
 [9.39413071e-01 2.09611386e-01 1.93045416e-03 ... 3.78350585e-44
  3.78350585e-44 1.05399221e-01]
 [9.39413071e-01 3.67879421e-01 5.19574736e-04 ... 3.78350585e-44
  3.78350585e-44 3.78350585e-44]
 ...
 [2.31952270e-16 1.60381082e-28 1.05399221e-01 ... 3.72336308e-25
  3.78350585e-44 7.28772376e-14]
 [1.05399221e-01 5.19574736e-04 2.09611386e-01 ... 4.67706211e-02
  7.28772376e-14 1.43072416e-08]
 [5.69782853e-01 9.39413071e-01 1.05399221e-01 ... 1.83156393e-02
  1.08485515e-17 1.38879437e-11]]","[[0.1498492  0.12336268 0.1180526  ... 0.15295598 0.1180526  0.12336268]
 [0.09811778 0.12326291 0.12591064 ... 0.38035384 0.12500782 0.08405153]
 [0.08715648 0.02340575 0.1616237  ... 0.21648563 0.3188159  0.25978592]
 ...
 [0.22006188 0.1040795  0.11427169 ... 0.12228919 0.06452062 0.11156476]
 [0.08715648 0.25978592 0.3188159  ... 0.0436037  0.1616237  0.02340575]
 [0.09811778 0.08405153 0.12500782 ... 0.12832293 0.12591064 0.12326291]]","[[  0.25  -1.     1.25 ...   7.25  -4.     0.  ]
 [ -0.25   1.25  -2.5  ... -22.25  19.75  -1.5 ]
 [  0.25  -1.     2.75 ...  19.75 -34.5   11.5 ]
 ...
 [  6.    -8.    -1.5  ...  -7.5   10.75  -5.5 ]
 [ -1.5    2.75   1.25 ...  -1.75   5.5   -4.25]
 [ -0.75   0.25   1.5  ...  -2.    -6.25   5.  ]]",1.0,2.0,1.0,0.008
image_4.png,False,0.26653003692626953,medium,"[[3.7835059e-44 3.7835059e-44 4.7851172e-06 ... 7.7880073e-01
  9.3941307e-01 1.0000000e+00]
 [3.7835059e-44 3.7835059e-44 4.6770621e-02 ... 5.6978285e-01
  9.3941307e-01 7.7880073e-01]
 [5.2428857e-22 6.3814992e-40 1.0000000e+00 ... 9.3941307e-01
  1.2340980e-04 6.3297153e-03]
 ...
 [3.7835059e-44 3.7835059e-44 3.7835059e-44 ... 7.7880073e-01
  3.6787942e-01 3.6787942e-01]
 [1.6038108e-28 3.7835059e-44 3.7835059e-44 ... 9.3941307e-01
  2.0961139e-01 3.6787942e-01]
 [1.0709232e-12 3.7835059e-44 1.0709232e-12 ... 1.0000000e+00
  5.6978285e-01 7.7880073e-01]]","[[0.21842894 0.09671757 0.31930888 ... 0.27154386 0.31930888 0.09671757]
 [0.17250931 0.09619976 0.20788094 ... 0.034978   0.42110652 0.14958788]
 [0.1413469  0.07978571 0.22443467 ... 0.22856006 0.03212962 0.20949413]
 ...
 [0.21633707 0.24085818 0.04006998 ... 0.26950306 0.08073649 0.1090866 ]
 [0.1413469  0.20949413 0.03212962 ... 0.10988613 0.22443467 0.07978571]
 [0.17250931 0.14958788 0.42110652 ... 0.24151853 0.20788094 0.09619976]]","[[-17.    21.     3.5  ...   0.5   -0.25   0.  ]
 [ 13.   -17.25   1.75 ...  -0.75  -0.25   0.5 ]
 [  7.    -9.5    0.   ...   0.25   3.    -2.25]
 ...
 [ 24.75 -13.75 -17.25 ...   0.5    1.    -1.  ]
 [  8.   -20.25  11.   ...  -0.25  -1.25   1.  ]
 [ -5.25  10.5   -5.25 ...   0.     0.75  -0.5 ]]",1.0,2.0,1.0,0.008
image_4_sl.png,False,0.2852818965911865,medium,"[[3.7835059e-44 3.7835059e-44 4.7851172e-06 ... 7.7880073e-01
  9.3941307e-01 1.0000000e+00]
 [3.7835059e-44 3.7835059e-44 4.6770621e-02 ... 5.6978285e-01
  9.3941307e-01 7.7880073e-01]
 [5.2428857e-22 6.3814992e-40 1.0000000e+00 ... 9.3941307e-01
  1.2340980e-04 6.3297153e-03]
 ...
 [3.7835059e-44 3.7835059e-44 3.7835059e-44 ... 7.7880073e-01
  3.6787942e-01 3.6787942e-01]
 [1.6038108e-28 3.7835059e-44 3.7835059e-44 ... 9.3941307e-01
  2.0961139e-01 3.6787942e-01]
 [1.0709232e-12 3.7835059e-44 1.0709232e-12 ... 1.0000000e+00
  5.6978285e-01 7.7880073e-01]]","[[0.04331425 0.05685112 0.3217772  ... 0.25994277 0.3217772  0.05685112]
 [0.09547783 0.08762451 0.28305793 ... 0.15748878 0.40372777 0.18864307]
 [0.13537724 0.05584855 0.15891404 ... 0.3158828  0.07520074 0.2239293 ]
 ...
 [0.307777   0.26636988 0.12115894 ... 0.29101422 0.06657805 0.16835217]
 [0.13537724 0.2239293  0.07520074 ... 0.21480644 0.15891404 0.05584855]
 [0.09547783 0.18864307 0.40372777 ... 0.18199207 0.28305793 0.08762451]]","[[-17.    21.     3.5  ...   0.5   -0.25   0.  ]
 [ 13.   -17.25   1.75 ...  -0.75  -0.25   0.5 ]
 [  7.    -9.5    0.   ...   0.25   3.    -2.25]
 ...
 [ 24.75 -13.75 -17.25 ...   0.5    1.    -1.  ]
 [  8.   -20.25  11.   ...  -0.25  -1.25   1.  ]
 [ -5.25  10.5   -5.25 ...   0.     0.75  -0.5 ]]",1.0,2.0,1.0,0.008
image_5.png,False,0.1523134708404541,medium,"[[1.0539922e-01 1.9304542e-03 9.3941307e-01 ... 4.6770621e-02
  4.6770621e-02 5.6978285e-01]
 [2.0961139e-01 7.7880073e-01 5.6978285e-01 ... 5.1957474e-04
  4.6770621e-02 7.7880073e-01]
 [4.7851172e-06 1.5893910e-10 2.0961139e-01 ... 1.0539922e-01
  1.0000000e+00 7.7880073e-01]
 ...
 [1.5893910e-10 6.3297153e-03 1.1253517e-07 ... 2.0961139e-01
  5.6978285e-01 7.7880073e-01]
 [9.3941307e-01 1.9304542e-03 2.0961139e-01 ... 3.6787942e-01
  2.0961139e-01 1.0539922e-01]
 [1.2340980e-04 1.5893910e-10 9.3941307e-01 ... 5.6978285e-01
  5.6978285e-01 5.6978285e-01]]","[[0.01561922 0.2534157  0.16968474 ... 0.22875088 0.16968474 0.2534157 ]
 [0.1908327  0.11848794 0.16962928 ... 0.17911969 0.23370662 0.32893613]
 [0.1467215  0.09366788 0.30849406 ... 0.09463088 0.05479078 0.05236884]
 ...
 [0.16739161 0.2146239  0.03722053 ... 0.15745711 0.21659952 0.16869742]
 [0.1467215  0.05236884 0.05479078 ... 0.13666941 0.30849406 0.09366788]
 [0.1908327  0.32893613 0.23370662 ... 0.15244383 0.16962928 0.11848794]]","[[-1.5   2.5   0.25 ... -1.75  1.75 -0.75]
 [-1.25  0.5  -0.75 ...  2.75 -1.75  0.5 ]
 [ 3.5  -4.75  1.25 ... -1.5   0.    0.5 ]
 ...
 [ 4.75 -2.25 -4.   ...  1.25 -0.75 -0.5 ]
 [-0.25 -2.5   1.25 ...  1.   -1.25  1.5 ]
 [-3.    4.75  0.25 ... -0.75  0.75 -0.75]]",1.0,2.0,1.0,0.008
image_6.png,False,0.20971989631652832,medium,"[[1.0000000e+00 5.1957474e-04 4.1900931e-32 ... 1.8315639e-02
  3.6787942e-01 5.6978285e-01]
 [2.5868101e-05 5.1862056e-42 3.7835059e-44 ... 1.8315639e-02
  6.3297153e-03 4.6770621e-02]
 [1.4307242e-08 5.2428857e-22 7.8114891e-07 ... 9.3941307e-01
  4.6770621e-02 2.0961139e-01]
 ...
 [3.6787942e-01 1.1253517e-07 1.3887944e-11 ... 7.7880073e-01
  1.3887944e-11 1.6052282e-09]
 [4.7851172e-06 4.4777323e-19 1.9304542e-03 ... 1.5893910e-10
  1.0709232e-12 1.2340980e-04]
 [2.0961139e-01 1.8315639e-02 7.7880073e-01 ... 1.4307242e-08
  1.8315639e-02 1.0000000e+00]]","[[0.10181514 0.13588744 0.1486325  ... 0.40261644 0.1486325  0.13588744]
 [0.22250046 0.15443139 0.32333505 ... 0.18102978 0.19476163 0.0686627 ]
 [0.25318018 0.03280124 0.119108   ... 0.08404004 0.17032865 0.28597704]
 ...
 [0.17877984 0.1409768  0.03074463 ... 0.20085831 0.20938143 0.08002412]
 [0.25318018 0.28597704 0.17032865 ... 0.18706788 0.119108   0.03280124]
 [0.22250046 0.0686627  0.19476163 ... 0.15860862 0.32333505 0.15443139]]","[[  0.    -2.75   8.5  ...  -2.     1.    -0.75]
 [ -3.25   9.75 -13.75 ...   2.    -2.25   1.75]
 [  4.25  -7.     3.75 ...   0.25   1.75  -1.25]
 ...
 [  1.    -4.     5.   ...   0.5    5.    -4.5 ]
 [ -3.5    6.5   -2.5  ...   4.75  -5.25   3.  ]
 [  1.25  -2.     0.5  ...  -4.25   2.     0.  ]]",1.0,2.0,1.0,0.008
image_7.png,False,0.2281806468963623,medium,"[[7.7880073e-01 7.7880073e-01 9.3941307e-01 ... 7.7880073e-01
  1.8315639e-02 5.6978285e-01]
 [5.6978285e-01 5.6978285e-01 7.7880073e-01 ... 1.8315639e-02
  1.8315639e-02 5.6978285e-01]
 [7.7880073e-01 5.6978285e-01 1.0000000e+00 ... 1.9304542e-03
  1.0539922e-01 2.0961139e-01]
 ...
 [4.6770621e-02 3.7835059e-44 3.7835059e-44 ... 2.0961139e-01
  1.0000000e+00 7.7880073e-01]
 [3.7835059e-44 3.7835059e-44 2.5868101e-05 ... 3.6787942e-01
  1.8315639e-02 3.6787942e-01]
 [3.7835059e-44 3.7835059e-44 3.7835059e-44 ... 3.6787942e-01
  4.6770621e-02 7.7880073e-01]]","[[0.14860922 0.19057892 0.28043744 ... 0.2141577  0.28043744 0.19057892]
 [0.04646968 0.03690339 0.12155462 ... 0.263654   0.11692677 0.22717075]
 [0.2220905  0.02581686 0.15935597 ... 0.24545875 0.09726073 0.05682046]
 ...
 [0.09313545 0.04932847 0.185496   ... 0.31237078 0.23844758 0.10792759]
 [0.2220905  0.05682046 0.09726073 ... 0.22406116 0.15935597 0.02581686]
 [0.04646968 0.22717075 0.11692677 ... 0.18316399 0.12155462 0.03690339]]","[[ -0.5    0.5    0.25 ...   0.5   -2.     0.75]
 [  0.75  -0.75  -0.5  ...  -2.     2.    -0.75]
 [ -0.5    0.75   0.   ...   2.5    1.5   -1.25]
 ...
 [ -1.75  19.5  -34.25 ...   1.25   0.    -0.5 ]
 [-18.    23.    -3.25 ...   1.    -2.     1.  ]
 [ 11.75 -22.75  18.5  ...  -1.     1.75  -0.5 ]]",1.0,2.0,1.0,0.008
image_8.png,False,0.150221586227417,medium,"[[5.6978285e-01 1.8315639e-02 1.8315639e-02 ... 1.8315639e-02
  1.0539922e-01 7.7880073e-01]
 [3.6787942e-01 6.3297153e-03 6.3297153e-03 ... 1.1253517e-07
  4.7851172e-06 2.0961139e-01]
 [9.3941307e-01 9.3941307e-01 9.3941307e-01 ... 2.5868101e-05
  2.5868101e-05 2.0961139e-01]
 ...
 [5.6978285e-01 3.6787942e-01 9.3941307e-01 ... 7.7880073e-01
  9.3941307e-01 3.6787942e-01]
 [5.6978285e-01 3.6787942e-01 9.3941307e-01 ... 5.6978285e-01
  7.7880073e-01 9.3941307e-01]
 [9.3941307e-01 7.7880073e-01 9.3941307e-01 ... 9.3941307e-01
  3.6787942e-01 5.6978285e-01]]","[[0.07880645 0.00965728 0.13555215 ... 0.05633393 0.13555215 0.00965728]
 [0.09516274 0.05942991 0.10072846 ... 0.10882989 0.05468585 0.04060411]
 [0.15700123 0.14247534 0.04996003 ... 0.12300463 0.05250899 0.05243556]
 ...
 [0.02207937 0.04783022 0.03674937 ... 0.12194939 0.05438538 0.10316902]
 [0.15700123 0.05243556 0.05250899 ... 0.02378347 0.04996003 0.14247534]
 [0.09516274 0.04060411 0.05468585 ... 0.10162695 0.10072846 0.05942991]]","[[-0.75  2.   -2.   ...  2.   -1.5   0.5 ]
 [ 1.   -2.25  2.25 ... -4.    3.5  -1.25]
 [-0.25 -0.25  0.25 ...  3.25 -3.25  1.25]
 ...
 [-0.75  1.    0.25 ...  0.5   0.25 -1.  ]
 [ 0.75 -1.   -0.25 ...  0.75  0.5  -0.25]
 [-0.25  0.5  -0.25 ... -0.25 -1.    0.75]]",1.0,2.0,1.0,0.008
image_8_sl.png,False,0.15417098999023438,medium,"[[5.6978285e-01 1.8315639e-02 1.8315639e-02 ... 1.8315639e-02
  1.0539922e-01 7.7880073e-01]
 [3.6787942e-01 6.3297153e-03 6.3297153e-03 ... 1.1253517e-07
  4.7851172e-06 2.0961139e-01]
 [9.3941307e-01 9.3941307e-01 9.3941307e-01 ... 2.5868101e-05
  2.5868101e-05 2.0961139e-01]
 ...
 [5.6978285e-01 3.6787942e-01 9.3941307e-01 ... 7.7880073e-01
  9.3941307e-01 3.6787942e-01]
 [5.6978285e-01 3.6787942e-01 9.3941307e-01 ... 5.6978285e-01
  7.7880073e-01 9.3941307e-01]
 [9.3941307e-01 7.7880073e-01 9.3941307e-01 ... 9.3941307e-01
  3.6787942e-01 5.6978285e-01]]","[[0.16048358 0.07607316 0.08387569 ... 0.10888889 0.08387569 0.07607316]
 [0.13222109 0.1458301  0.18470094 ... 0.11200744 0.1325466  0.0874297 ]
 [0.2468917  0.08921172 0.11274214 ... 0.0951988  0.0749514  0.09955443]
 ...
 [0.05531548 0.10508306 0.11174561 ... 0.13789654 0.03095523 0.15317148]
 [0.2468917  0.09955443 0.0749514  ... 0.03517676 0.11274214 0.08921172]
 [0.13222109 0.0874297  0.1325466  ... 0.11323377 0.18470094 0.1458301 ]]","[[-0.75  2.   -2.   ...  2.   -1.5   0.5 ]
 [ 1.   -2.25  2.25 ... -4.    3.5  -1.25]
 [-0.25 -0.25  0.25 ...  3.25 -3.25  1.25]
 ...
 [-0.75  1.    0.25 ...  0.5   0.25 -1.  ]
 [ 0.75 -1.   -0.25 ...  0.75  0.5  -0.25]
 [-0.25  0.5  -0.25 ... -0.25 -1.    0.75]]",1.0,2.0,1.0,0.008
image_9.png,False,0.196427583694458,medium,"[[1.58939098e-10 8.22598036e-27 1.93045416e-03 ... 7.78800726e-01
  5.69782853e-01 3.67879421e-01]
 [1.93045416e-03 4.78511720e-06 1.12535169e-07 ... 4.47773235e-19
  7.28772376e-14 1.83156393e-02]
 [2.58681011e-05 8.22598036e-27 3.78350585e-44 ... 1.12535169e-07
  2.09611386e-01 4.67706211e-02]
 ...
 [1.43072416e-08 7.78800726e-01 5.18620562e-42 ... 1.08485515e-17
  3.78350585e-44 2.75950891e-30]
 [1.93045416e-03 3.72336308e-25 4.37661839e-15 ... 1.07092319e-12
  4.67706211e-02 1.58939098e-10]
 [1.58939098e-10 3.78350585e-44 3.78350585e-44 ... 4.37661839e-15
  8.22598036e-27 1.38879437e-11]]","[[0.08682879 0.09694322 0.5023786  ... 0.2101606  0.5023786  0.09694322]
 [0.13477191 0.27065152 0.08443627 ... 0.07727655 0.19326529 0.17958859]
 [0.15345564 0.04657122 0.2813431  ... 0.09384554 0.29502258 0.3836758 ]
 ...
 [0.25414276 0.13472398 0.52682936 ... 0.14499445 0.13107812 0.01799349]
 [0.15345564 0.3836758  0.29502258 ... 0.3596186  0.2813431  0.04657122]
 [0.13477191 0.17958859 0.19326529 ... 0.3822383  0.08443627 0.27065152]]","[[ -4.75   7.75  -2.5  ...   0.5    0.75  -1.  ]
 [  2.5   -3.5   -4.   ...   6.5   -5.5    2.  ]
 [  3.25  -7.75  15.25 ...  -4.     1.25   1.75]
 ...
 [ -4.25   0.5    9.75 ...  -6.25  16.5   -8.25]
 [ -2.5    7.5   -5.75 ...   5.25   1.75  -4.75]
 [  4.75 -12.5   10.5  ...   5.75  -7.75   5.  ]]",1.0,2.0,1.0,0.008
